c1,c2,c3,c4,k31,k41,k51,num_trial
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.2835631724972574,-2.6534196107729935,1.4208819765100664,2.1549988500366752,-4.751343887299348,0.9500879124389614,2.0372170012419244,0
2.283972193750033,-2.6534196472864293,1.4208820049901734,2.1550588621702436,-4.694384560314548,0.9500626763725141,2.037158227057887,0
2.283972193750033,-2.6534196472864293,1.4208820049901734,2.1550588621702436,-4.694384560314548,0.9500626763725141,2.037158227057887,0
2.283972193750033,-2.6534196472864293,1.4208820049901734,2.1550588621702436,-4.694384560314548,0.9500626763725141,2.037158227057887,0
2.2799566056706477,-2.653419616465909,1.4208819976724048,2.155081726065557,-4.742581660171055,0.9500881926875795,2.037201933493308,0
2.6566487229030047,-2.4367650312189353,1.6410805111249371,0.38443208083170916,-11.87679109546104,0.6057430720145753,6.895459841863158,1
2.656561184705978,-2.4367711836937036,1.641088442244719,0.38447209394268395,-11.967698530338023,0.5886468151050133,7.240436772732333,1
2.656561184705978,-2.4367711836937036,1.641088442244719,0.38447209394268395,-11.967698530338023,0.5886468151050133,7.240436772732333,1
2.656561184705978,-2.4367711836937036,1.641088442244719,0.38447209394268395,-11.967698530338023,0.5886468151050133,7.240436772732333,1
2.656976607609937,-2.4367671905525485,1.6410889748122393,0.3844126632257338,-13.324419774636713,0.6244374624405507,7.187334941551409,1
2.656976607609937,-2.4367671905525485,1.6410889748122393,0.3844126632257338,-13.324419774636713,0.6244374624405507,7.187334941551409,1
2.656976607609937,-2.4367671905525485,1.6410889748122393,0.3844126632257338,-13.324419774636713,0.6244374624405507,7.187334941551409,1
2.656976607609937,-2.4367671905525485,1.6410889748122393,0.3844126632257338,-13.324419774636713,0.6244374624405507,7.187334941551409,1
2.656976607609937,-2.4367671905525485,1.6410889748122393,0.3844126632257338,-13.324419774636713,0.6244374624405507,7.187334941551409,1
2.657139461414062,-2.436770327605094,1.6410908046462187,0.3844682777924944,-11.414169560339722,0.6188476458481318,7.239214207091788,1
2.6836838704102943,-2.3740911244758616,1.5114650149370343,0.6776486404578306,-5.642003969954159,-7.366307236383932,3.198150534272498,2
2.6836838704102943,-2.3740911244758616,1.5114650149370343,0.6776486404578306,-5.642003969954159,-7.366307236383932,3.198150534272498,2
2.6836838704102943,-2.3740911244758616,1.5114650149370343,0.6776486404578306,-5.642003969954159,-7.366307236383932,3.198150534272498,2
2.683683673158144,-2.3740921916707425,1.51144879317311,0.6777962136684774,-5.640561126962949,-7.428655428282679,3.1988843708257995,2
2.683683673158144,-2.3740921916707425,1.51144879317311,0.6777962136684774,-5.640561126962949,-7.428655428282679,3.1988843708257995,2
2.683683673158144,-2.3740921916707425,1.51144879317311,0.6777962136684774,-5.640561126962949,-7.428655428282679,3.1988843708257995,2
2.683683673158144,-2.3740921916707425,1.51144879317311,0.6777962136684774,-5.640561126962949,-7.428655428282679,3.1988843708257995,2
2.683684677437184,-2.3740934311679225,1.5114447449951645,0.6778923887424785,-5.5580289306075015,-7.333476104080274,3.2004918349337927,2
2.683684677437184,-2.3740934311679225,1.5114447449951645,0.6778923887424785,-5.5580289306075015,-7.333476104080274,3.2004918349337927,2
2.683684677437184,-2.3740934311679225,1.5114447449951645,0.6778923887424785,-5.5580289306075015,-7.333476104080274,3.2004918349337927,2
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.450554939180982,-2.5119208524492973,1.3853535024108945,2.330345887357345,-7.626805997563851,-6.755687200574293,2.09712409628755,3
2.5877935142548036,-2.4383028448589696,1.4631990267023305,1.7930118992878228,-8.866270212264416,-6.850436887013,2.0862329473370234,4
2.5877935142548036,-2.4383028448589696,1.4631990267023305,1.7930118992878228,-8.866270212264416,-6.850436887013,2.0862329473370234,4
2.5877935142548036,-2.4383028448589696,1.4631990267023305,1.7930118992878228,-8.866270212264416,-6.850436887013,2.0862329473370234,4
